Year,Team,Conf,Seed,Wins,Won_ConfT,Round_32,Sweet_16,Elite_8,Final_4,Champ_Game,Won_Natty,AdjO,AdjD,AdjEM,BARTHAG,EFG%,EFG%D,FT%,FTR,FT_Off_Impact,FT_Off_Eff,FTRD,FT_Def_Impact,FT_Def_Eff,FT_Net_Impact,FT_Net_Eff,TOV%,TOV%D,TOV%_Diff,OREB%,DREB%,2PT%,2PTR,2pt_Off_Impact,2pt_Off_Eff,2PT%D,2PTRD,2pt_Def_Impact,2pt_Def_Eff,2pt_Net_Impact,2pt_Net_Eff,3PT%,3PTR,3pt_Off_Impact,3pt_Off_Eff,3PT%D,3PTRD,3pt_Def_Impact,3pt_Def_Eff,3pt_Net_Impact,3pt_Net_Eff,AST%,Height,Experience,Talent,AdjT,W,Elite_SOS,Norm_Elite_SOS,WAB
2025,Illinois,B10,6,1,0,1,0,0,0,0,0,121.633,98.0448,23.5881,0.923,0.523,0.473,0.759,0.346,15.79,14.59,0.268,11.94,11.04,3.84,3.55,0.158,0.127,-0.031,0.36,0.737,0.573,0.531,18.29,16.91,0.461,0.696,20.00,18.49,-1.71,-1.58,0.311,0.469,8.77,8.11,0.333,0.304,6.31,5.83,2.46,2.27,0.519,82.012,1.177,74.592,71.4016,21,39.298,0.827,3.4
2025,Iowa St.,B12,3,1,0,1,0,0,0,0,0,119.483,92.4824,27.0002,0.948,0.546,0.484,0.757,0.385,16.62,15.98,0.289,11.09,10.66,5.53,5.32,0.169,0.218,0.049,0.322,0.716,0.551,0.631,19.83,19.07,0.475,0.593,15.12,14.54,4.71,4.53,0.358,0.369,7.53,7.25,0.332,0.407,7.25,6.97,0.28,0.27,0.539,81.053,2.401,35.926,68.6373,24,36.738,0.765,5.4
2025,Kansas,B12,7,0,0,0,0,0,0,0,0,116.021,92.761,23.2603,0.927,0.531,0.462,0.711,0.243,9.85,9.50,0.28,11.56,11.15,-1.71,-1.65,0.167,0.156,-0.011,0.304,0.725,0.534,0.657,20.00,19.29,0.461,0.593,15.79,15.23,4.21,4.06,0.352,0.343,6.88,6.64,0.309,0.407,7.26,7.01,-0.38,-0.37,0.609,82.013,2.526,65.96,68.4297,21,41.748,0.886,4.1
2025,Kentucky,SEC,3,2,0,1,1,0,0,0,0,123.868,99.6111,24.2565,0.931,0.56,0.504,0.738,0.359,15.95,14.83,0.31,13.54,12.58,2.42,2.25,0.152,0.14,-0.012,0.287,0.741,0.559,0.583,19.63,18.24,0.537,0.565,18.53,17.22,1.10,1.02,0.374,0.417,9.39,8.73,0.308,0.435,8.18,7.60,1.21,1.12,0.567,82.178,2.329,46.326,71.013,22,43.526,0.929,5.6
2025,Liberty,CUSA,12,0,0,0,0,0,0,0,0,112.496,98.9632,13.5325,0.831,0.584,0.459,0.654,0.309,11.19,11.30,0.263,10.22,10.31,0.97,0.98,0.153,0.169,0.016,0.189,0.72,0.577,0.523,16.71,16.87,0.48,0.656,17.11,17.27,-0.40,-0.40,0.395,0.477,10.44,10.53,0.28,0.344,5.23,5.28,5.20,5.25,0.612,79.4,2.265,2.365,65.3931,25,13.412,0.202,-0.32
2025,Lipscomb,ASun,14,0,0,0,0,0,0,0,0,112.711,103.225,9.48582,0.672,0.559,0.486,0.796,0.314,14.11,14.12,0.223,8.84,8.85,5.27,5.27,0.144,0.159,0.015,0.24,0.735,0.567,0.526,16.84,16.85,0.499,0.628,17.38,17.39,-0.54,-0.54,0.367,0.474,9.82,9.83,0.31,0.372,6.40,6.40,3.42,3.43,0.544,80.035,2.583,0.2,65.9466,23,11.694,0.161,-4.1
2025,Louisville,ACC,8,0,0,0,0,0,0,0,0,118.177,95.5301,22.6465,0.929,0.534,0.492,0.744,0.345,14.75,14.15,0.268,10.74,10.29,4.02,3.85,0.165,0.186,0.021,0.322,0.728,0.57,0.519,17.00,16.30,0.483,0.603,16.32,15.65,0.68,0.66,0.330,0.481,9.12,8.75,0.337,0.397,7.50,7.19,1.63,1.56,0.519,81.168,2.555,20.225,68.826,27,29.98,0.602,5.5
2025,Marquette,BE,7,0,0,0,0,0,0,0,0,117.695,96.1073,21.5878,0.898,0.52,0.499,0.723,0.261,11.04,10.77,0.302,11.46,11.19,-0.42,-0.41,0.135,0.215,0.08,0.301,0.69,0.549,0.537,17.25,16.83,0.513,0.602,16.40,16.00,0.85,0.83,0.325,0.463,8.80,8.59,0.318,0.398,6.72,6.56,2.08,2.03,0.495,80.58,2.084,62.664,67.6373,23,34.207,0.704,3.6
2025,Maryland,B10,4,2,0,1,1,0,0,0,0,118.089,91.7546,26.3341,0.945,0.538,0.47,0.755,0.329,14.84,14.02,0.259,10.33,9.75,4.51,4.26,0.145,0.202,0.057,0.31,0.728,0.527,0.645,20.31,19.18,0.476,0.642,17.04,16.09,3.27,3.09,0.372,0.355,7.89,7.45,0.307,0.358,6.13,5.79,1.76,1.66,0.504,80.919,1.64,66.049,69.8717,25,31.337,0.635,4.6
2025,McNeese St.,SInd,12,1,0,1,0,0,0,0,0,114.303,100.611,13.6921,0.796,0.533,0.475,0.707,0.357,13.84,13.96,0.314,11.52,11.62,2.32,2.34,0.162,0.216,0.054,0.347,0.687,0.532,0.633,18.46,18.63,0.469,0.534,12.85,12.96,5.62,5.67,0.356,0.367,7.16,7.23,0.322,0.466,7.70,7.76,-0.53,-0.54,0.501,78.891,2.515,25.961,65.427,25,12.768,0.186,-0.9
2025,Memphis,Amer,5,0,0,0,0,0,0,0,0,113.302,98.1617,15.1407,0.806,0.536,0.485,0.702,0.394,15.83,14.75,0.336,13.77,12.83,2.06,1.92,0.192,0.191,-0.001,0.351,0.677,0.52,0.669,19.91,18.55,0.486,0.593,16.52,15.39,3.40,3.16,0.380,0.331,7.20,6.71,0.322,0.407,7.51,7.00,-0.31,-0.29,0.52,80.871,2.425,53.401,70.8385,29,23.012,0.434,4.9
2025,Michigan,B10,5,2,1,1,1,0,0,0,0,116.787,94.9671,21.8201,0.907,0.545,0.463,0.728,0.35,14.22,13.49,0.285,11.91,11.30,2.31,2.19,0.198,0.16,-0.038,0.332,0.702,0.577,0.575,18.52,17.56,0.459,0.611,16.40,15.55,2.12,2.01,0.334,0.425,7.92,7.51,0.313,0.389,7.12,6.75,0.81,0.76,0.585,83.403,2.239,57.267,69.6043,25,37.294,0.778,6.2
2025,Michigan St.,B10,2,3,0,1,1,1,0,0,0,118.056,90.49,27.5664,0.941,0.512,0.461,0.781,0.378,16.69,16.25,0.331,13.41,13.06,3.28,3.19,0.166,0.164,-0.002,0.353,0.754,0.536,0.673,20.39,19.86,0.491,0.586,16.30,15.88,4.09,3.98,0.308,0.327,5.69,5.54,0.279,0.414,6.55,6.37,-0.85,-0.83,0.616,81.913,1.752,74.743,67.7809,27,34.707,0.716,7.8
2025,Mississippi,SEC,6,2,0,1,1,0,0,0,0,117.897,95.8241,22.0726,0.9,0.511,0.505,0.738,0.356,15.60,15.12,0.395,15.29,14.82,0.31,0.30,0.128,0.205,0.077,0.254,0.692,0.51,0.598,18.11,17.55,0.516,0.56,15.65,15.16,2.47,2.39,0.341,0.402,8.14,7.89,0.327,0.44,7.79,7.55,0.35,0.34,0.535,79.496,2.701,56.397,68.1108,22,41.324,0.876,4.8
2025,Mississippi St.,SEC,8,0,0,0,0,0,0,0,0,118.786,98.6992,20.0867,0.889,0.517,0.519,0.7,0.316,12.81,12.39,0.354,13.98,13.53,-1.17,-1.14,0.151,0.19,0.039,0.341,0.705,0.552,0.577,18.44,17.85,0.501,0.558,15.44,14.95,3.00,2.90,0.314,0.423,7.69,7.44,0.361,0.442,8.81,8.53,-1.12,-1.09,0.533,80.466,2.053,58.075,68.2016,21,38.324,0.803,3
2025,Missouri,SEC,6,0,0,0,0,0,0,0,0,125.359,100.97,24.3888,0.934,0.562,0.507,0.725,0.468,19.65,18.99,0.353,13.79,13.33,5.86,5.66,0.152,0.2,0.048,0.337,0.678,0.567,0.585,19.21,18.56,0.511,0.618,17.25,16.67,1.96,1.89,0.370,0.415,8.89,8.59,0.334,0.382,6.97,6.74,1.92,1.86,0.495,81.594,2.197,66.184,68.279,22,36.393,0.757,3
2025,Montana,BSky,14,0,0,0,0,0,0,0,0,110.837,110.443,0.39472,0.578,0.564,0.522,0.746,0.362,15.19,14.94,0.319,12.93,12.72,2.25,2.22,0.162,0.155,-0.007,0.226,0.71,0.573,0.632,20.36,20.03,0.531,0.65,19.57,19.25,0.79,0.78,0.365,0.368,7.55,7.43,0.337,0.35,6.69,6.58,0.87,0.85,0.493,78.532,2.148,0.2,67.1057,22,15.101,0.243,-3.1
2025,Mount St. Mary's,MAAC,16,0,0,0,0,0,0,0,0,100.191,106.864,-6.67224,0.29,0.51,0.48,0.73,0.31,11.95,11.69,0.267,10.83,10.60,1.12,1.10,0.217,0.159,-0.058,0.311,0.717,0.501,0.59,15.61,15.28,0.487,0.555,15.33,15.00,0.28,0.27,0.349,0.41,7.56,7.39,0.314,0.445,7.92,7.76,-0.37,-0.36,0.606,80.419,2.013,0.853,67.4378,21,8.934,0.094,-8.2
2025,Nebraska Omaha,Sum,15,0,0,0,0,0,0,0,0,111.099,110.588,0.511031,0.596,0.535,0.531,0.733,0.364,15.25,14.84,0.377,15.55,15.14,-0.30,-0.29,0.157,0.149,-0.008,0.292,0.746,0.525,0.614,18.42,17.93,0.535,0.555,17.13,16.68,1.29,1.26,0.367,0.386,8.09,7.88,0.351,0.445,9.01,8.77,-0.92,-0.89,0.495,79.995,2.432,0.2,67.7809,20,13.045,0.193,-6.5
2025,New Mexico,MWC,10,1,0,1,0,0,0,0,0,112.545,95.2167,17.3279,0.867,0.508,0.492,0.684,0.378,15.88,14.40,0.35,14.47,13.13,1.40,1.27,0.156,0.205,0.049,0.315,0.744,0.506,0.678,21.07,19.11,0.482,0.617,17.20,15.60,3.86,3.51,0.341,0.322,6.74,6.12,0.338,0.383,7.49,6.79,-0.75,-0.68,0.515,81.232,2.047,45.924,72.7518,25,24.388,0.467,2.8
2025,Norfolk St.,MEAC,16,0,0,0,0,0,0,0,0,107.201,108.723,-1.52118,0.425,0.524,0.497,0.753,0.39,15.93,15.84,0.349,13.49,13.41,2.44,2.43,0.183,0.186,0.003,0.328,0.662,0.545,0.723,21.38,21.25,0.489,0.573,15.15,15.05,6.23,6.19,0.313,0.277,4.70,4.68,0.339,0.427,7.83,7.78,-3.12,-3.10,0.493,80.249,2.602,7.466,66.4103,21,12.001,0.168,-5.3
2025,North Carolina,ACC,11,0,0,0,0,0,0,0,0,118.913,99.3766,19.5367,0.881,0.542,0.496,0.737,0.348,15.35,14.37,0.3,12.83,12.01,2.53,2.37,0.151,0.152,0.001,0.292,0.729,0.549,0.63,20.71,19.38,0.492,0.621,18.27,17.10,2.44,2.28,0.353,0.37,7.82,7.32,0.335,0.379,7.59,7.11,0.23,0.21,0.51,79.98,1.623,87.298,70.5124,22,35.154,0.727,1.4
2025,Oklahoma,SEC,9,0,0,0,0,0,0,0,0,119.062,100.717,18.345,0.855,0.549,0.511,0.794,0.396,17.84,17.16,0.358,14.38,13.84,3.46,3.33,0.173,0.181,0.008,0.265,0.683,0.546,0.581,18.00,17.31,0.549,0.581,17.92,17.24,0.08,0.07,0.370,0.419,8.80,8.46,0.305,0.419,7.18,6.91,1.62,1.55,0.52,80.403,2.256,48.517,68.6051,20,39.435,0.830,2.1
2025,Oregon,B10,5,1,0,1,0,0,0,0,0,116.643,96.4943,20.149,0.874,0.522,0.491,0.763,0.334,14.45,14.09,0.277,11.04,10.77,3.41,3.32,0.162,0.176,0.014,0.306,0.708,0.53,0.614,18.45,18.00,0.5,0.626,17.45,17.02,1.00,0.98,0.340,0.386,7.44,7.26,0.317,0.374,6.61,6.45,0.83,0.81,0.544,81.554,2.452,60.009,67.673,24,35.999,0.747,5.3
2025,Purdue,B10,4,2,0,1,1,0,0,0,0,124.163,100.363,23.8002,0.929,0.563,0.52,0.73,0.346,13.86,14.07,0.31,11.85,12.02,2.01,2.04,0.156,0.178,0.022,0.31,0.701,0.555,0.619,18.86,19.14,0.564,0.573,17.28,17.53,1.58,1.60,0.385,0.381,8.05,8.17,0.307,0.427,7.01,7.11,1.04,1.06,0.577,80.639,1.484,73.946,65.0357,22,38.46,0.807,4.3
2025,Robert Morris,Horz,15,0,0,0,0,0,0,0,0,107.033,104.951,2.08242,0.524,0.513,0.503,0.72,0.384,15.29,14.87,0.3,11.82,11.50,3.47,3.38,0.185,0.188,0.003,0.353,0.717,0.507,0.632,17.72,17.24,0.498,0.644,17.67,17.19,0.05,0.05,0.349,0.368,7.10,6.91,0.342,0.356,6.71,6.52,0.39,0.38,0.607,79.54,1.898,0.2,67.8393,25,8.247,0.077,-4.3
2025,Saint Francis,NEC,16,0,0,0,0,0,0,0,0,99.7234,112.484,-12.7602,0.211,0.516,0.513,0.725,0.238,9.29,9.16,0.287,11.49,11.32,-2.20,-2.17,0.196,0.164,-0.032,0.254,0.7,0.526,0.581,16.46,16.22,0.534,0.568,16.99,16.74,-0.53,-0.52,0.334,0.419,7.54,7.43,0.323,0.432,7.82,7.70,-0.28,-0.27,0.503,78.644,1.173,0.2,66.9974,13,12.764,0.186,-12.2
2025,Saint Mary's,WCC,7,1,0,1,0,0,0,0,0,115.324,92.2318,23.0917,0.922,0.509,0.462,0.695,0.314,11.44,12.23,0.25,9.21,9.84,2.24,2.39,0.151,0.166,0.015,0.405,0.751,0.518,0.666,18.09,19.33,0.458,0.687,16.21,17.32,1.88,2.01,0.326,0.334,5.71,6.10,0.312,0.313,5.03,5.38,0.68,0.73,0.571,81.447,1.982,48.461,61.7537,27,22.682,0.426,4.1
2025,San Diego St.,MWC,11,0,0,0,0,0,0,0,0,109.848,93.5742,16.2735,0.839,0.506,0.453,0.667,0.321,11.78,11.76,0.372,14.12,14.10,-2.34,-2.34,0.168,0.197,0.029,0.294,0.691,0.516,0.606,17.20,17.17,0.45,0.527,12.59,12.57,4.61,4.60,0.328,0.394,7.11,7.10,0.304,0.473,7.63,7.62,-0.53,-0.52,0.509,81.937,1.611,41.617,66.1184,20,27.647,0.546,0.9
2025,SIU Edwardsville,OVC,16,0,0,0,0,0,0,0,0,101.933,106.247,-4.31392,0.38,0.489,0.475,0.679,0.331,12.28,12.30,0.332,12.94,12.96,-0.66,-0.66,0.171,0.173,0.002,0.318,0.709,0.478,0.637,16.63,16.66,0.463,0.614,15.49,15.52,1.14,1.14,0.340,0.363,6.74,6.75,0.33,0.386,6.94,6.95,-0.20,-0.20,0.514,80.792,2.225,7.282,65.8961,19,8.164,0.075,-7.8
2025,St. John's,BE,2,1,1,1,0,0,0,0,0,113.938,87.5628,26.3752,0.936,0.497,0.466,0.689,0.302,12.33,11.59,0.304,11.92,11.20,0.41,0.39,0.156,0.219,0.063,0.373,0.711,0.515,0.697,21.27,20.00,0.458,0.592,14.86,13.98,6.40,6.02,0.304,0.303,5.46,5.13,0.318,0.408,7.11,6.69,-1.66,-1.56,0.537,80.533,2.12,64.078,70.1918,30,27.94,0.553,7.8
2025,Tennessee,SEC,2,3,0,1,1,1,0,0,0,119.981,88.5426,31.4386,0.957,0.528,0.444,0.743,0.354,14.06,14.58,0.294,10.99,11.40,3.06,3.18,0.16,0.178,0.018,0.354,0.699,0.541,0.57,16.48,17.10,0.467,0.549,13.41,13.91,3.07,3.19,0.340,0.43,7.81,8.11,0.278,0.451,6.56,6.80,1.26,1.30,0.602,81.352,2.65,51.743,63.6241,27,41.282,0.875,9.3
2025,Texas,SEC,11,0,0,0,0,0,0,0,0,116.755,99.6019,17.1527,0.852,0.525,0.484,0.749,0.366,15.84,15.51,0.393,15.80,15.47,0.04,0.04,0.143,0.166,0.023,0.298,0.703,0.518,0.646,19.34,18.93,0.475,0.638,17.04,16.68,2.30,2.25,0.360,0.354,7.37,7.21,0.333,0.362,6.78,6.64,0.59,0.57,0.475,80.717,2.185,60.878,67.4356,19,37.234,0.777,0.04
