,Year,Team,Seed,Region,Proj_Wins_Safe,Wins
506,2023,Northern Kentucky,16,Midwest,0.18661236994558744,0
1,2022,Kansas,1,Midwest,3.007269139166192,6
17,2022,North Carolina,8,East,1.252031998015288,5
25,2022,Duke,2,West,2.3684320071227263,4
42,2022,Villanova,2,South,2.143214887418381,4
63,2022,Houston,5,South,1.8545151817665138,3
94,2022,Arkansas,4,West,1.015127962970705,3
91,2022,Saint Peter's,15,East,0.17494089263577786,3
57,2022,Miami FL,10,Midwest,0.7724038398490951,3
177,2022,Arizona,1,South,2.8926396280732107,2
112,2022,Gonzaga,1,West,2.3616687756661334,2
127,2022,Texas Tech,3,West,1.282837791229275,2
144,2022,UCLA,4,East,1.7842890159515172,2
170,2022,Purdue,3,East,1.8685191431666759,2
146,2022,Michigan,11,South,0.7613465406393274,2
188,2022,Providence,4,Midwest,0.9692810107404704,2
140,2022,Iowa St.,11,Midwest,0.6453382488390315,2
318,2022,Baylor,1,East,2.240162820878761,1
222,2022,Tennessee,3,South,2.256269486982079,1
317,2022,Auburn,2,Midwest,1.840217959388869,1
243,2022,Wisconsin,3,Midwest,1.2934136770809137,1
240,2022,Michigan St.,7,West,0.9231674966095268,1
223,2022,Texas,6,East,1.101473002320521,1
262,2022,Saint Mary's,5,East,0.8812773367366193,1
264,2022,Murray St.,7,East,0.8044779728072327,1
258,2022,Ohio St.,7,South,0.7303542174180082,1
266,2022,TCU,9,South,0.8973763354384533,1
380,2022,Illinois,4,South,1.1297034417388527,1
206,2022,Notre Dame,11,West,0.7152077467430135,1
209,2022,New Mexico St.,12,West,0.42919283722260676,1
225,2022,Memphis,9,West,0.7914234819481162,1
216,2022,Richmond,12,Midwest,0.4004852590717699,1
364,2022,Creighton,9,Midwest,0.7049163606332237,1
397,2022,Kentucky,2,East,2.3226699437055376,0
406,2022,Connecticut,5,West,1.1328578577621817,0
399,2022,Iowa,5,Midwest,1.7307641231899091,0
412,2022,Boise St.,8,West,0.8033896784772793,0
413,2022,Alabama,6,West,0.8127259262789706,0
387,2022,San Diego St.,8,Midwest,0.7149224238256625,0
394,2022,LSU,6,Midwest,0.9221286137060618,0
501,2022,USC,7,Midwest,1.059275639829556,0
393,2022,Rutgers,11,West,0.50876054351675,0
401,2022,Montana St.,14,West,0.24637695838126583,0
402,2022,Georgia St.,16,West,0.2052741019698119,0
405,2022,Davidson,10,West,0.6674895134257672,0
410,2022,Cal St. Fullerton,15,West,0.19387903840181103,0
500,2022,Vermont,13,West,0.4254569750437763,0
385,2022,San Francisco,10,East,0.6316347043585558,0
391,2022,Marquette,9,East,0.5482671160604387,0
400,2022,Indiana,12,East,0.6794426901083778,0
403,2022,Norfolk St.,16,East,0.1944366982543586,0
414,2022,Akron,13,East,0.24358806650643902,0
496,2022,Yale,14,East,0.17614489965567953,0
497,2022,Wyoming,12,East,0.5183326845550087,0
499,2022,Virginia Tech,11,East,0.8109251642066496,0
386,2022,Seton Hall,8,South,0.8737486899446231,0
395,2022,Loyola Chicago,10,South,0.5250852851554784,0
396,2022,Longwood,14,South,0.26174226358850533,0
404,2022,Delaware,15,South,0.20306276823219246,0
407,2022,Colorado St.,6,South,0.6493733942191494,0
409,2022,Chattanooga,13,South,0.5166508439589734,0
411,2022,Bryant,16,South,0.19611617702483206,0
498,2022,Wright St.,16,South,0.15949426626033827,0
502,2022,UAB,12,South,0.6052399861583282,0
398,2022,Jacksonville St.,15,Midwest,0.18850401131894004,0
408,2022,Colgate,14,Midwest,0.2144352892694498,0
417,2022,South Dakota St.,13,Midwest,0.480340501901937,0
476,2022,Texas A&M Corpus Chris,16,Midwest,0.12221509012718502,0
503,2022,Texas Southern,16,Midwest,0.16227257535133213,0
3,2021,Baylor,1,South,2.063363913063276,6
13,2021,Gonzaga,1,West,3.3135758660523886,5
37,2021,Houston,2,Midwest,1.7827627361480967,4
47,2021,UCLA,11,East,0.9891148728697552,4
93,2021,Michigan,1,East,2.3270976418982694,3
75,2021,USC,6,West,1.7949565872939155,3
65,2021,Arkansas,3,South,1.4183575633078478,3
95,2021,Oregon St.,12,Midwest,0.6409397434378027,3
108,2021,Alabama,2,East,2.460691029723518,2
98,2021,Creighton,5,West,1.0619994202724656,2
156,2021,Oregon,7,West,1.0370662142034892,2
191,2021,Florida St.,4,East,0.9387107575655925,2
128,2021,Villanova,5,South,1.1555932148448045,2
189,2021,Oral Roberts,15,South,0.1603876354515164,2
150,2021,Syracuse,11,Midwest,0.7731730741800709,2
181,2021,Loyola Chicago,8,Midwest,0.7098734406752304,2
267,2021,Illinois,1,Midwest,3.43541639060877,1
276,2021,Iowa,2,West,2.3179703333735384,1
369,2021,Colorado,5,East,1.4709039655121474,1
284,2021,West Virginia,3,Midwest,1.1279124237943832,1
304,2021,Oklahoma St.,4,Midwest,1.200395216557533,1
274,2021,Kansas,3,West,1.4879982924001365,1
325,2021,LSU,8,East,1.1556862579799085,1
298,2021,Florida,7,South,0.6761650667999634,1
346,2021,Texas Tech,6,South,0.9026107298138426,1
373,2021,Rutgers,10,Midwest,0.825905360361664,1
305,2021,Oklahoma,8,West,0.6158189302455773,1
310,2021,Ohio,13,West,0.2982206462172573,1
320,2021,Maryland,10,East,0.6686336820681119,1
376,2021,Abilene Christian,14,East,0.32394159748873047,1
309,2021,Wisconsin,9,South,1.1344804435338993,1
313,2021,North Texas,13,South,0.29471225786545874,1
720,2021,Ohio St.,2,South,1.9395945301902138,0
384,2021,Virginia,4,West,1.0860001711798801,0
726,2021,Texas,3,East,1.5372842013777308,0
722,2021,Purdue,4,South,1.2771147093619517,0
716,2021,Missouri,9,West,0.7066691940944086,0
736,2021,Connecticut,7,East,0.9882463797151074,0
740,2021,BYU,6,East,1.0031318223029881,0
713,2021,North Carolina,8,South,1.4577861543080435,0
723,2021,San Diego St.,6,Midwest,0.9211969261817231,0
725,2021,Tennessee,5,Midwest,1.0518326257662738,0
731,2021,Georgia Tech,9,Midwest,0.8444020394083647,0
389,2021,VCU,10,West,0.5837173885679924,0
390,2021,Wichita St.,11,West,0.5189439747561138,0
676,2021,UC Santa Barbara,12,West,0.5743276288684114,0
719,2021,Norfolk St.,16,West,0.13174364470030558,0
730,2021,Grand Canyon,15,West,0.26217720186763777,0
733,2021,Eastern Washington,14,West,0.21849483798932834,0
735,2021,Drake,11,West,0.6475322369626887,0
741,2021,Appalachian St.,16,West,0.12175085696660998,0
535,2021,UNC Greensboro,13,East,0.39835982303159606,0
715,2021,Michigan St.,11,East,0.8022745018484062,0
718,2021,Mount St. Mary's,16,East,0.11771201432829297,0
724,2021,St. Bonaventure,9,East,0.6225264576395246,0
727,2021,Texas Southern,16,East,0.16375849933659314,0
728,2021,Iona,15,East,0.14900762317991187,0
732,2021,Georgetown,12,East,0.5691771560064112,0
388,2021,Virginia Tech,10,South,0.503981382717186,0
392,2021,Winthrop,12,South,0.45747246242917805,0
533,2021,Utah St.,11,South,0.5683362759194058,0
729,2021,Hartford,16,South,0.15827069902401195,0
737,2021,Colgate,14,South,0.3106033814884384,0
714,2021,Liberty,13,Midwest,0.29029630689514174,0
717,2021,Morehead St.,14,Midwest,0.29600819653476335,0
734,2021,Drexel,16,Midwest,0.15196670459095604,0
738,2021,Cleveland St.,15,Midwest,0.2436472047201344,0
739,2021,Clemson,7,Midwest,0.7602194801353158,0
5,2019,Virginia,1,South,3.122445632181167,6
18,2019,Texas Tech,3,West,1.1470147637770896,5
36,2019,Michigan St.,2,East,2.7182284513203405,4
44,2019,Auburn,5,Midwest,1.442658600415111,4
67,2019,Duke,1,East,4.067015369100213,3
84,2019,Gonzaga,1,West,2.035126478472389,3
82,2019,Kentucky,2,Midwest,2.3375490864553856,3
50,2019,Purdue,3,South,1.5646700942028626,3
164,2019,Michigan,2,West,2.499835629084087,2
120,2019,North Carolina,1,Midwest,2.5093929641251367,2
134,2019,Tennessee,2,South,1.9535070623767632,2
125,2019,Florida St.,4,West,1.5141862462526525,2
173,2019,LSU,3,East,1.471819739680764,2
115,2019,Houston,3,Midwest,1.3743925106651806,2
132,2019,Virginia Tech,4,East,1.1488042049228784,2
139,2019,Oregon,12,South,0.7373145705095676,2
244,2019,Kansas,4,Midwest,1.5913805333300421,1
221,2019,Buffalo,6,West,0.9865130713540801,1
248,2019,Minnesota,10,East,0.8723788557596928,1
251,2019,Maryland,6,East,1.0626758231184292,1
