,Year,Team,Proj_Wins_Safer,Wins_Rank_Safer
590,2016,Cal St. Bakersfield,0.22930578752037584,57
591,2016,UNC Wilmington,0.35101561101162093,52
592,2016,USC,0.8048954668912045,34
593,2016,Michigan,0.7855831244597407,35
594,2016,Stony Brook,0.34413269038497807,53
595,2016,Tulsa,0.32756930708030496,55
596,2016,Florida Gulf Coast,0.12309268284782468,63
597,2016,Fairleigh Dickinson,0.06645845505191769,67
598,2016,Chattanooga,0.36919535872399256,49
599,2016,Weber St.,0.15446060882329202,61
600,2016,South Dakota St.,0.3693925643615022,48
601,2016,Temple,0.6228717604895504,41
602,2016,UNC Asheville,0.14808841219140398,62
603,2016,Colorado,0.6011977633779352,42
604,2016,Buffalo,0.16549355934570936,60
605,2016,Austin Peay,0.06714207245710874,66
606,2016,Vanderbilt,0.6732338141888156,39
607,2016,Texas Tech,0.4465686907530303,45
608,2016,Iona,0.2649972627213308,56
609,2016,Hampton,0.11504727554159633,64
610,2016,Fresno St.,0.4398362223497058,46
611,2016,Dayton,0.5288392066052553,43
476,2017,North Carolina,2.8119692573020356,2
477,2017,Gonzaga,2.164551559371899,6
478,2017,Oregon,1.3729836017221921,19
479,2017,South Carolina,0.6011176977330753,38
480,2017,Kansas,2.2226057168127324,5
481,2017,Kentucky,2.5504462019526124,3
482,2017,Florida,1.519058316964618,15
483,2017,Xavier,0.738102900520389,31
484,2017,Arizona,2.066982060353438,7
485,2017,West Virginia,1.6481595475608528,12
486,2017,Butler,1.060137645906593,24
487,2017,Baylor,1.3495156387829805,21
488,2017,Wisconsin,1.508083327705509,16
489,2017,UCLA,1.6878310210251743,11
490,2017,Michigan,1.5257200820297867,14
491,2017,Purdue,1.2476113270045883,22
492,2017,Villanova,3.708883575119745,1
493,2017,Duke,2.3406725901893264,4
494,2017,Louisville,1.805691444252496,9
495,2017,Florida St.,1.4773260683091918,18
496,2017,Cincinnati,1.7134595766039744,10
497,2017,Iowa St.,1.4911167377170313,17
498,2017,Saint Mary's,0.9875724569611982,25
499,2017,Notre Dame,1.5629659561611966,13
500,2017,Northwestern,0.6852326618540882,33
501,2017,Virginia,1.3608115676313488,20
502,2017,Arkansas,0.7216092028771605,32
503,2017,Wichita St.,1.0881192798895019,23
504,2017,USC,0.7827524209709946,29
505,2017,Middle Tennessee,0.5980089624634941,39
506,2017,Rhode Island,0.5399215061220237,44
507,2017,Michigan St.,0.3973574034925119,50
508,2017,SMU,1.8308290663018103,8
510,2017,Marquette,0.6516461143817026,36
511,2017,Minnesota,0.7740331889037478,30
512,2017,Miami FL,0.9031799570844165,26
513,2017,Creighton,0.8373766822059552,28
509,2017,Maryland,0.6830730976464234,34
514,2017,North Dakota,0.09431513489056433,64
515,2017,Princeton,0.37925392954438464,51
516,2017,VCU,0.4989124367528279,45
517,2017,South Dakota St.,0.09366753070443494,65
518,2017,Florida Gulf Coast,0.2762508354817267,53
519,2017,Bucknell,0.2390188549418003,55
520,2017,Vanderbilt,0.5842997501166582,41
521,2017,Providence,0.4304683492835025,49
522,2017,New Orleans,0.0925552192834695,66
523,2017,Troy,0.14042435527488914,62
524,2017,UNC Wilmington,0.49406056977766616,46
525,2017,New Mexico St.,0.26293218029466653,54
526,2017,Mount St. Mary's,0.08637615859884651,68
527,2017,East Tennessee St.,0.3058696348585505,52
528,2017,Virginia Tech,0.604722688149012,37
529,2017,Northern Kentucky,0.1575959309506646,60
530,2017,Seton Hall,0.6542513899686594,35
531,2017,Texas Southern,0.16687559296598312,59
532,2017,Kent St.,0.1915136134253319,57
533,2017,Kansas St.,0.5679770856730232,42
534,2017,Dayton,0.43508745451268055,47
535,2017,Winthrop,0.20766695129497828,56
536,2017,Wake Forest,0.5953791906013362,40
537,2017,North Carolina Central,0.14869807630595225,61
538,2017,Oklahoma St.,0.8991692281555566,27
539,2017,UC Davis,0.08968059071336516,67
540,2017,Nevada,0.5666030230332706,43
541,2017,Jacksonville St.,0.10228866219737826,63
542,2017,Iona,0.18697175374097258,58
543,2017,Vermont,0.4305984086200336,48
408,2018,Villanova,3.761471574518775,2
409,2018,Michigan,1.9179761592416926,10
410,2018,Kansas,2.297940933991674,5
411,2018,Loyola Chicago,0.3816288516030799,51
412,2018,Duke,2.6950137048577156,3
413,2018,Texas Tech,1.042761700347289,18
414,2018,Florida St.,0.731343812896609,35
415,2018,Kansas St.,0.6786020930328666,39
416,2018,Purdue,2.1177413880513023,7
417,2018,Gonzaga,2.0387716104335722,9
418,2018,West Virginia,1.43973567384364,14
419,2018,Texas A&M,0.9523381160179353,25
420,2018,Nevada,0.9599966531673324,24
421,2018,Kentucky,1.5102093338367535,13
422,2018,Syracuse,0.7991664135156422,28
423,2018,Clemson,0.9940563253863368,20
424,2018,North Carolina,2.419847941948992,4
425,2018,Xavier,2.1424058614531982,6
426,2018,Cincinnati,2.1049037296237834,8
427,2018,Tennessee,1.2157626099264536,15
428,2018,Michigan St.,1.8665388957024813,11
429,2018,Auburn,1.1615993875027533,17
430,2018,Houston,0.7939749962622205,29
431,2018,Ohio St.,1.182512796818129,16
432,2018,Florida,1.0064244806906597,19
437,2018,Butler,0.949589303094037,26
433,2018,Rhode Island,0.76622910081675,31
434,2018,Seton Hall,0.982889472748263,22
435,2018,Marshall,0.2075992859953816,58
436,2018,Alabama,0.4810854052252145,46
438,2018,UMBC,0.1495319758457263,62
439,2018,Buffalo,0.39682621164894205,49
440,2018,Virginia,3.9044466803947993,1
441,2018,Arizona,1.5874056188872405,12
442,2018,Virginia Tech,0.6101431956659754,41
443,2018,Wichita St.,0.977350176328698,23
445,2018,Miami FL,0.9924746983168866,21
466,2018,Creighton,0.6943569914260674,37
446,2018,UNC Greensboro,0.34534653577302754,53
447,2018,Texas Southern,0.08964820411911598,66
448,2018,Providence,0.7044336672583884,36
449,2018,North Carolina Central,0.04849117724130678,68
450,2018,San Diego St.,0.6786863144954951,38
451,2018,South Dakota St.,0.488562436038286,45
452,2018,Montana,0.38597169755226696,50
453,2018,Missouri,0.5252984939161065,44
454,2018,Lipscomb,0.1506474099771271,61
444,2018,Arkansas,0.774266886167096,30
455,2018,UCLA,0.7413607434086299,33
456,2018,Murray St.,0.3648342489257647,52
457,2018,Radford,0.13344499926728656,64
458,2018,St. Bonaventure,0.4296608216289178,47
459,2018,Stephen F. Austin,0.24458456422820238,56
460,2018,LIU Brooklyn,0.057575997039959935,67
461,2018,Cal St. Fullerton,0.0943775932421909,65
462,2018,Wright St.,0.20144470864515565,60
463,2018,Texas,0.8875704652360447,27
464,2018,Georgia St.,0.20966286784171323,57
465,2018,Davidson,0.4037236323848665,48
467,2018,New Mexico St.,0.5596607595641644,42
468,2018,North Carolina St.,0.6703295419335213,40
469,2018,Oklahoma,0.7365081114625263,34
470,2018,Penn,0.20250658747142525,59
471,2018,TCU,0.7590453342706205,32
472,2018,Iona,0.13530332605970793,63
473,2018,College of Charleston,0.2495229095153052,55
474,2018,Bucknell,0.2564773487504647,54
475,2018,Arizona St.,0.55839945552045,43
340,2019,Virginia,3.2519077886984578,2
341,2019,Texas Tech,1.2696499757613058,19
342,2019,Michigan St.,2.311921153084559,5
343,2019,Auburn,2.1133235402266353,6
344,2019,Duke,3.819534177095718,1
345,2019,Gonzaga,1.8455338594782817,9
347,2019,Purdue,1.8562273381176386,8
346,2019,Kentucky,2.031650046384786,7
348,2019,Michigan,2.4460138157580746,4
349,2019,North Carolina,2.6839464695393733,3
351,2019,Florida St.,1.7357039183702523,11
352,2019,LSU,1.5540513451742024,14
354,2019,Virginia Tech,1.2997575374366797,17
350,2019,Tennessee,1.8282285089838184,10
353,2019,Houston,1.62310300005158,13
355,2019,Oregon,0.8770137904938937,28
357,2019,Buffalo,1.0532406982502986,23
359,2019,Maryland,1.0120442077719223,24
360,2019,UCF,0.5832090136200109,39
361,2019,Oklahoma,0.656199203977865,35
362,2019,Villanova,1.11176895228231,21
356,2019,Kansas,1.6591859116307308,12
363,2019,Washington,0.8116126517627537,30
364,2019,Wofford,0.9094659042490514,25
