Year,Team,Conf,Seed,Wins,Won_ConfT,Round_32,Sweet_16,Elite_8,Final_4,Champ_Game,Won_Natty,AdjO,AdjD,AdjEM,BARTHAG,EFG%,EFG%D,FT%,FTR,FTRD,TOV%,TOV%D,TOV%_Diff,OREB%,DREB%,2PT%,2PTR,2PT%D,2PTRD,3PT%,3PTR,3PT%D,3PTRD,AST%,Height,Experience,Talent,AdjT,W,Elite_SOS,WAB
2025,Missouri,SEC,6,0,0,0,0,0,0,0,0,125.359,100.97,24.3888,0.934,0.562,0.507,0.725,0.468,0.353,0.152,0.2,0.048,0.337,0.678,0.567,0.585,0.511,0.618,0.370,0.415,0.334,0.382,0.495,81.594,2.197,66.184,68.279,22,36.393,3
2025,Montana,BSky,14,0,0,0,0,0,0,0,0,110.837,110.443,0.39472,0.578,0.564,0.522,0.746,0.362,0.319,0.162,0.155,-0.007,0.226,0.71,0.573,0.632,0.531,0.65,0.365,0.368,0.337,0.35,0.493,78.532,2.148,0.2,67.1057,22,15.101,-3.1
2025,Mount St. Mary's,MAAC,16,0,0,0,0,0,0,0,0,100.191,106.864,-6.67224,0.29,0.51,0.48,0.73,0.31,0.267,0.217,0.159,-0.058,0.311,0.717,0.501,0.59,0.487,0.555,0.349,0.41,0.314,0.445,0.606,80.419,2.013,0.853,67.4378,21,8.934,-8.2
2025,Nebraska Omaha,Sum,15,0,0,0,0,0,0,0,0,111.099,110.588,0.511031,0.596,0.535,0.531,0.733,0.364,0.377,0.157,0.149,-0.008,0.292,0.746,0.525,0.614,0.535,0.555,0.367,0.386,0.351,0.445,0.495,79.995,2.432,0.2,67.7809,20,13.045,-6.5
2025,New Mexico,MWC,10,1,0,1,0,0,0,0,0,112.545,95.2167,17.3279,0.867,0.508,0.492,0.684,0.378,0.35,0.156,0.205,0.049,0.315,0.744,0.506,0.678,0.482,0.617,0.341,0.322,0.338,0.383,0.515,81.232,2.047,45.924,72.7518,25,24.388,2.8
2025,Norfolk St.,MEAC,16,0,0,0,0,0,0,0,0,107.201,108.723,-1.52118,0.425,0.524,0.497,0.753,0.39,0.349,0.183,0.186,0.003,0.328,0.662,0.545,0.723,0.489,0.573,0.313,0.277,0.339,0.427,0.493,80.249,2.602,7.466,66.4103,21,12.001,-5.3
2025,North Carolina,ACC,11,0,0,0,0,0,0,0,0,118.913,99.3766,19.5367,0.881,0.542,0.496,0.737,0.348,0.3,0.151,0.152,0.001,0.292,0.729,0.549,0.63,0.492,0.621,0.353,0.37,0.335,0.379,0.51,79.98,1.623,87.298,70.5124,22,35.154,1.4
2025,Oklahoma,SEC,9,0,0,0,0,0,0,0,0,119.062,100.717,18.345,0.855,0.549,0.511,0.794,0.396,0.358,0.173,0.181,0.008,0.265,0.683,0.546,0.581,0.549,0.581,0.370,0.419,0.305,0.419,0.52,80.403,2.256,48.517,68.6051,20,39.435,2.1
2025,Oregon,B10,5,1,0,1,0,0,0,0,0,116.643,96.4943,20.149,0.874,0.522,0.491,0.763,0.334,0.277,0.162,0.176,0.014,0.306,0.708,0.53,0.614,0.5,0.626,0.340,0.386,0.317,0.374,0.544,81.554,2.452,60.009,67.673,24,35.999,5.3
2025,Purdue,B10,4,2,0,1,1,0,0,0,0,124.163,100.363,23.8002,0.929,0.563,0.52,0.73,0.346,0.31,0.156,0.178,0.022,0.31,0.701,0.555,0.619,0.564,0.573,0.385,0.381,0.307,0.427,0.577,80.639,1.484,73.946,65.0357,22,38.46,4.3
2025,Robert Morris,Horz,15,0,0,0,0,0,0,0,0,107.033,104.951,2.08242,0.524,0.513,0.503,0.72,0.384,0.3,0.185,0.188,0.003,0.353,0.717,0.507,0.632,0.498,0.644,0.349,0.368,0.342,0.356,0.607,79.54,1.898,0.2,67.8393,25,8.247,-4.3
