,Year,Team,Proj_Wins_Risky
767,2017,Miami FL,1.0311354542499058
777,2017,Creighton,0.9282846033166885
751,2017,North Dakota,0.03331926919745055
754,2017,Princeton,0.4468129640089489
756,2017,VCU,0.35869486886393664
758,2017,South Dakota St.,0.038451846155760736
768,2017,Maryland,0.47982070712295416
774,2017,Florida Gulf Coast,0.18901687244653317
778,2017,Bucknell,0.13575139626182564
748,2017,Providence,0.318499222481763
749,2017,New Orleans,0.030191876600332568
760,2017,Troy,0.07300241100692217
762,2017,UNC Wilmington,0.4521470665982756
763,2017,New Mexico St.,0.12827844534733124
765,2017,Mount St. Mary's,0.023953313075162668
775,2017,East Tennessee St.,0.27197008257982147
791,2017,Virginia Tech,0.46399699157952895
752,2017,Northern Kentucky,0.06656939189170731
759,2017,Texas Southern,0.030386668323807632
766,2017,Minnesota,0.49602343322512055
770,2017,Kent St.,0.12330900014361351
771,2017,Kansas St.,0.441108501540611
776,2017,Dayton,0.3139764997692709
813,2017,Winthrop,0.12019857987151408
814,2017,Wake Forest,0.5525053958582016
750,2017,North Carolina Central,0.0620071908720448
753,2017,Oklahoma St.,1.0294770419644763
761,2017,UC Davis,0.026691291098151482
764,2017,Nevada,0.3682544754421834
772,2017,Jacksonville St.,0.034266939300702896
773,2017,Iona,0.10841222251766088
781,2017,Vermont,0.35274268012218885
11,2016,Villanova,2.535043705021395
20,2016,North Carolina,4.3542717628177074
43,2016,Oklahoma,2.444272533245641
41,2016,Syracuse,0.8632048832477198
78,2016,Kansas,3.036230105183223
79,2016,Virginia,2.4242792873432606
59,2016,Oregon,1.4954366472888236
54,2016,Notre Dame,0.7330406800061476
155,2016,Duke,1.5924034539873528
133,2016,Texas A&M,1.6640896232801419
141,2016,Miami FL,1.2313183014745288
142,2016,Maryland,0.986402175672272
151,2016,Gonzaga,1.2816092678593551
148,2016,Indiana,1.3845602284965326
145,2016,Iowa St.,1.2696574248072305
137,2016,Wisconsin,0.5358864855073829
214,2016,Xavier,1.719349509558024
341,2016,Kentucky,2.2300361995751143
285,2016,VCU,1.131238061039939
212,2016,Wichita St.,1.176999673689887
335,2016,Connecticut,1.3859702556319478
340,2016,Iowa,1.5001758780989942
265,2016,Butler,0.750484696150089
356,2016,Utah,0.640078452659645
215,2016,Yale,0.2843938832924866
345,2016,Northern Iowa,0.4083587741441811
348,2016,Saint Joseph's,0.9978415184816416
347,2016,Providence,0.6730538785818221
352,2016,Stephen F. Austin,0.32605186231802075
339,2016,Hawaii,0.276837249292535
342,2016,Little Rock,0.8789595130144422
343,2016,Middle Tennessee,0.1655882047414157
574,2016,Michigan St.,3.317748513029436
779,2016,West Virginia,2.596449453487222
577,2016,Purdue,1.7448459589576304
583,2016,Texas,0.7937700297027829
596,2016,Cincinnati,1.0415611905953541
601,2016,Baylor,0.6043792554109996
553,2016,USC,0.7718310641845373
573,2016,Michigan,1.0393396681934253
576,2016,Pittsburgh,0.5562948917299569
598,2016,California,0.9406586747606673
575,2016,Oregon St.,0.36100692423116354
579,2016,Southern,0.03357006384039697
588,2016,Holy Cross,0.009621297521531262
590,2016,Green Bay,0.11543611133283384
599,2016,Cal St. Bakersfield,0.17051892660718893
674,2016,UNC Wilmington,0.28521373351831647
581,2016,Stony Brook,0.28279116248330716
585,2016,Tulsa,0.21726736247007392
