,Year,Team,Proj_Wins_Agg,Wins_Rank_Agg
506,2017,Rhode Island,0.4414628872387867,45
507,2017,Michigan St.,0.28782374202025296,51
508,2017,SMU,1.9056340325353158,9
520,2017,Vanderbilt,0.6187489250733702,34
510,2017,Marquette,0.713799639475404,30
512,2017,Miami FL,0.9833908657553201,25
513,2017,Creighton,0.8943637372305939,28
509,2017,Maryland,0.5556611513481292,40
514,2017,North Dakota,0.056078920575478045,65
515,2017,Princeton,0.4216043690594846,46
516,2017,VCU,0.4110148568821796,47
517,2017,South Dakota St.,0.059054713524669,64
518,2017,Florida Gulf Coast,0.22156685865369485,53
519,2017,Bucknell,0.17428403009763704,55
521,2017,Providence,0.3602787474077852,49
522,2017,New Orleans,0.05346178058657765,66
523,2017,Troy,0.09815985289795458,60
524,2017,UNC Wilmington,0.46778643345625714,43
525,2017,New Mexico St.,0.17852237629782947,54
526,2017,Mount St. Mary's,0.04724541961385062,68
527,2017,East Tennessee St.,0.28461916925098896,52
528,2017,Virginia Tech,0.516506579851724,41
511,2017,Minnesota,0.5997584166872949,38
529,2017,Northern Kentucky,0.1005345184062436,59
530,2017,Seton Hall,0.6278194427163754,33
531,2017,Texas Southern,0.08131537154849995,62
532,2017,Kent St.,0.14875848271141887,57
533,2017,Kansas St.,0.48844752547061554,42
534,2017,Dayton,0.3591671545242745,50
535,2017,Winthrop,0.15283603189519468,56
536,2017,Wake Forest,0.5685030804638488,39
537,2017,North Carolina Central,0.0943545361832043,61
538,2017,Oklahoma St.,0.9808547233790585,26
539,2017,UC Davis,0.05019476110382817,67
540,2017,Nevada,0.44226512752840996,44
541,2017,Jacksonville St.,0.059648179187522,63
542,2017,Iona,0.137725480436807,58
543,2017,Vermont,0.38179332508407116,48
408,2018,Villanova,4.198541918997883,1
409,2018,Michigan,1.8689876817817983,10
410,2018,Kansas,2.3865149279765525,4
411,2018,Loyola Chicago,0.30686699136521023,53
412,2018,Duke,2.6679357916029836,3
414,2018,Florida St.,0.6689833481566287,37
413,2018,Texas Tech,1.065672916235021,20
415,2018,Kansas St.,0.6801434369097115,36
416,2018,Purdue,2.0545945462088873,8
417,2018,Gonzaga,2.3276967448403187,7
418,2018,West Virginia,1.6372287035453588,11
419,2018,Texas A&M,0.8896167249895451,26
420,2018,Nevada,0.9588284106046412,24
421,2018,Kentucky,1.4674583349600618,13
422,2018,Syracuse,0.7728339500097631,30
423,2018,Clemson,0.986304991140073,23
424,2018,North Carolina,2.382692659134068,5
425,2018,Xavier,2.3473320136169242,6
426,2018,Cincinnati,2.009133252979509,9
432,2018,Florida,1.079758840563616,19
427,2018,Tennessee,1.138063265894796,18
428,2018,Michigan St.,1.4622935038913798,14
429,2018,Auburn,1.2451198952625933,16
430,2018,Houston,0.8280840922247237,29
431,2018,Ohio St.,1.2842760588964237,15
437,2018,Butler,1.198467973221087,17
433,2018,Rhode Island,0.8331194374745001,28
434,2018,Seton Hall,1.0197023027008256,22
435,2018,Marshall,0.13768937146337018,60
436,2018,Alabama,0.42464603714584703,46
438,2018,UMBC,0.08938905625235997,63
439,2018,Buffalo,0.3621189077311399,49
440,2018,Virginia,4.18209145645682,2
441,2018,Arizona,1.6173342301530156,12
442,2018,Virginia Tech,0.5420902833403333,43
443,2018,Wichita St.,0.8737423031477929,27
445,2018,Miami FL,1.0410552884901074,21
466,2018,Creighton,0.7164596359587554,35
446,2018,UNC Greensboro,0.3372899607436409,51
447,2018,Texas Southern,0.04441358560401097,66
448,2018,Providence,0.6617515848406841,38
449,2018,North Carolina Central,0.021837511091781826,68
450,2018,San Diego St.,0.734358402700971,33
451,2018,South Dakota St.,0.5291992112511229,44
452,2018,Montana,0.35470258145717615,50
453,2018,Missouri,0.48944203265895886,45
454,2018,Lipscomb,0.10877855211844713,61
444,2018,Arkansas,0.7496320315015704,32
455,2018,UCLA,0.6609427492893336,39
456,2018,Murray St.,0.308790004658269,52
457,2018,Radford,0.0844206583978176,64
458,2018,St. Bonaventure,0.3843038930953188,48
459,2018,Stephen F. Austin,0.22946954319011903,54
460,2018,LIU Brooklyn,0.0301447089110534,67
461,2018,Cal St. Fullerton,0.050921430551031245,65
462,2018,Wright St.,0.14425073622887277,59
463,2018,Texas,0.8897471410762496,25
464,2018,Georgia St.,0.16337291033209211,57
465,2018,Davidson,0.40992218980567796,47
467,2018,New Mexico St.,0.5671324262865136,41
468,2018,North Carolina St.,0.6462975765226059,40
469,2018,Oklahoma,0.771460468432294,31
470,2018,Penn,0.14979106803665826,58
471,2018,TCU,0.7228905967606187,34
472,2018,Iona,0.09264291398229933,62
473,2018,College of Charleston,0.1814959802413045,56
474,2018,Bucknell,0.18392429659770204,55
475,2018,Arizona St.,0.5438039683113842,42
340,2019,Virginia,3.4166778060841,2
341,2019,Texas Tech,1.4257311546503084,17
343,2019,Auburn,2.966897099986757,3
342,2019,Michigan St.,1.7948027735117456,9
344,2019,Duke,3.5045581145445426,1
347,2019,Purdue,2.2273001940091715,6
345,2019,Gonzaga,1.6042341625766907,14
346,2019,Kentucky,1.6423239953858415,13
348,2019,Michigan,2.377513326070422,5
351,2019,Florida St.,2.0176355010653793,7
353,2019,Houston,1.9396436229069975,8
352,2019,LSU,1.6587097521658514,12
354,2019,Virginia Tech,1.4918799606360627,16
350,2019,Tennessee,1.6687830773927974,11
349,2019,North Carolina,2.9061054764302203,4
